,A_frozen_legacy_gross,A_frozen_legacy_legacy_cost,B_always_lp_gross,C_always_eth,D_always_usdc,E_buy_hold_5050
2026-08-01 00:00:00+00:00,9373.332604611234,9360.313785669616,9995.233431919592,8819.731016651982,10000.0,9409.865508325991
2026-08-02 00:00:00+00:00,9373.332604611234,9360.313785669616,9995.322597122482,9005.993747728096,10000.0,9502.99687386405
2026-08-03 00:00:00+00:00,9373.332604611234,9360.313785669616,9995.278979516175,8888.790447334079,10000.0,9444.39522366704
2026-08-04 00:00:00+00:00,9373.332604611234,9360.313785669616,9995.309669136375,8940.492638284755,10000.0,9470.246319142378
2026-08-05 00:00:00+00:00,9373.342405732792,9360.323555975414,9995.389859915871,9122.00555893241,10000.0,9561.002779466206
2026-08-06 00:00:00+00:00,9319.100861763227,9308.949918887494,9995.385856954965,9097.410591797481,10000.0,9548.70529589874
2026-08-07 00:00:00+00:00,9377.05586427231,9366.841793211941,9995.412341073901,9153.986914073064,10000.0,9576.993457036533
2026-08-08 00:00:00+00:00,9389.253353681943,9379.0259963593,9995.417330002005,9165.894239789845,10000.0,9582.947119894921
2026-08-09 00:00:00+00:00,9352.708401794309,9342.520851500745,9995.40644801445,9130.218648623812,10000.0,9565.109324311907
2026-08-10 00:00:00+00:00,9145.721797423008,9137.119187848406,9995.340845025874,8952.122254856402,10000.0,9476.061127428202
2026-08-11 00:00:00+00:00,9196.159321527772,9187.509269625773,9995.366355154969,9001.492101438147,10000.0,9500.746050719074
2026-08-12 00:00:00+00:00,9175.03351535056,9166.403334713676,9995.36340006505,8980.813493033058,10000.0,9490.406746516528
2026-08-13 00:00:00+00:00,9205.359620224726,9196.700914377265,9995.380279468727,9010.4976452914,10000.0,9505.248822645699
2026-08-14 00:00:00+00:00,9180.088475742445,9168.2296409339,9995.376576674327,8993.394807733499,10000.0,9496.69740386675
2026-08-15 00:00:00+00:00,9180.088475742445,9168.2296409339,9995.379068078364,8997.892404566785,10000.0,9498.946202283392
2026-08-16 00:00:00+00:00,9180.088475742445,9168.2296409339,9995.367333603617,8967.353043665498,10000.0,9483.67652183275
2026-08-17 00:00:00+00:00,9180.088475742445,9168.2296409339,9995.441572649095,9144.83795983857,10000.0,9572.418979919286
2026-08-18 00:00:00+00:00,9251.000344838307,9241.82226966811,9995.453211636537,9168.644283047775,10000.0,9584.322141523888
2026-08-19 00:00:00+00:00,10870.183981409995,10859.399486547132,9995.733993510772,10773.413306858356,10000.0,10386.706653429177
2026-08-20 00:00:00+00:00,11228.127418435293,11216.987801785679,9995.750042258005,11128.17018991994,10000.0,10564.08509495997
2026-08-21 00:00:00+00:00,12137.721855534199,12125.679814735098,9995.751323898967,12029.66705779674,10000.0,11014.833528898369
